amenities,bathrooms,bedrooms,pets_allowed,price,price_type,square_feet,cityname,state
0,0,0.0,1,0,Monthly,1,Charlotte,NC
0,0,1.0,1,1,Monthly,1,Arlington,MA
1,0,0.0,1,0,Monthly,0,Bloomington,IN
0,0,0.0,1,0,Monthly,0,Tulsa,OK
1,0,0.0,1,0,Monthly,1,Apex,NC
1,0,0.0,1,0,Monthly,1,Houston,TX
1,0,0.0,1,0,Monthly,0,Tampa,FL
1,0,0.0,1,0,Monthly,1,Cincinnati,OH
1,0,0.0,1,1,Monthly,0,Attleboro,MA
0,0,0.0,1,0,Monthly,0,Grand Haven,MI
0,0,0.0,1,0,Monthly,1,Oklahoma City,OK
0,0,0.0,1,0,Monthly,1,Dallas,TX
1,0,0.0,1,0,Monthly,0,San Antonio,TX
1,0,0.0,1,0,Monthly,0,Cherry Hill,NJ
1,0,0.0,1,1,Monthly,0,Washington,DC
0,0,1.0,1,0,Monthly,1,Manhattan,KS
1,0,0.0,1,1,Monthly,0,Federal Way,WA
1,0,0.0,1,0,Monthly,1,Mesquite,TX
0,0,0.0,1,0,Monthly,0,Bellingham,WA
0,0,0.0,1,0,Monthly,0,Houston,TX
1,0,0.0,1,0,Monthly,0,Colorado Springs,CO
1,0,0.0,1,0,Monthly,0,Dickinson,ND
1,0,0.0,1,1,Monthly,1,Boston,MA
0,0,0.0,1,1,Monthly,1,,
1,0,0.0,1,1,Monthly,1,Parsippany,NJ
1,0,0.0,1,0,Monthly,0,Gaithersburg,MD
1,0,0.0,1,1,Monthly,1,Seattle,WA
0,0,0.0,1,1,Monthly,1,San Antonio,TX
1,0,0.0,1,1,Monthly,0,Lexington,KY
0,0,0.0,1,1,Monthly,1,Tallahassee,FL
1,0,0.0,1,0,Monthly,0,Tucson,AZ
1,0,0.0,1,0,Monthly,0,Jeffersonville,IN
1,0,0.0,1,0,Monthly,0,Kansas City,MO
0,0,0.0,1,0,Monthly,0,,
1,0,0.0,1,1,Monthly,1,Cockeysville,MD
1,0,0.0,1,0,Monthly,1,Greenville,NC
1,0,0.0,1,0,Monthly,0,Lees Summit,MO
0,0,0.0,1,1,Monthly,0,Dallas,TX
1,0,0.0,1,0,Monthly,0,Bloomington,IN
1,0,0.0,1,0,Monthly,0,Greensboro,NC
1,0,0.0,1,1,Monthly,0,Marina Del Rey,CA
