id,category,title,body,amenities,bathrooms,bedrooms,currency,fee,has_photo,pets_allowed,price,price_display,price_type,square_feet,address,cityname,state,latitude,longitude,source,time
5508712149,housing/rent/apartment,Two BR Apartment in Quiet Building - Los Angeles,"Square footage: 979 square ft, unit number: 239. Price from: 2,774. Brand new 2 beds two baths apartment with of a water fountain and lushly landscaped court yard. 9' ceilings and berber carpeting compliment the stainless appliances. all apartments have washer/dryers in the unit. Welcome to gracious living in the grand European tradition in the heart of upbeat, downtown, offering skyline views of 1 of Americas most dynamic cities. Eleven distinctive floor plans that were creatively designed and crafted with a wealth of detail giving you the perfect setting for your luxurious California lifestyle. Visconti offers World Class Resort Style Living in Downtown LA, with spacious 1 and 2 beds apartment homes. More units available: two Bd / 2 Bedrooms 979 square ft for $2,699/mo | two Bd / 2 Bedrooms 979 square feet for $2,655/mo | one Bd / 1 Bedrooms 641 sq-ft for $2,255/mo | one Bd / 1 Bedrooms 719 sq-ft for $2,364/mo | two Bd / 2 Bedrooms 979 sq. feet for $2,649/mo | two Bd / 2 Bedrooms 979 sq-ft for $2,799/mo",,2.0,2.0,USD,No,Thumbnail,,2774,"$2,774.00 ",Monthly,979,,Los Angeles,CA,34.053,-118.2637,RentDigs.com,1568746925
5668623069,housing/rent/apartment,One BR West Fifth & Mandalay Bay Road,"This unit is located at West 5th & Mandalay Bay Road, Oxnard Shores, 93035, CAMonthly rental rates range from $1580We have 1 beds units available for rent Apartment features include:-- Furnished- Pool",Pool,1.0,1.0,USD,No,Thumbnail,,1580,"$1,580.00 ",Monthly,400,,,,,,RentLingo,1577359152
5668632283,housing/rent/apartment,One BR 2001 S. IH 35,"This unit is located at 2001 S. IH 35, Austin, 78741, TXMonthly rental rates range from $899 - $1179We have one - two beds units available for rent","AC,Patio/Deck,Pool",1.0,1.0,USD,No,Thumbnail,,899,$899.00 ,Monthly,600,2001 S Ih 35,Austin,TX,30.3054,-97.7497,RentLingo,1577359821
5664576115,housing/rent/apartment,Three BR 6909 Goldenwillow Drive,"This unit is located at 6909 Goldenwillow Drive, Charlotte, 28215, NCMonthly rental rates range from $1399We have 3 beds units available for rent",,2.0,3.0,USD,No,Thumbnail,"Cats,Dogs",1399,"$1,399.00 ",Monthly,2220,6909 Goldenwillow Dr,Charlotte,NC,35.2016,-80.8124,RentLingo,1577015444
5509245754,housing/rent/apartment,Convenient location Two BR Two BA for rent,"Square footage: 1144 square feet, unit number: 03A-217. located in Newcastle, WA, offers brand new studio, one, two, and three beds homes that feature modern kitchens with stainless appliances and quartz stone counter tops, spacious closets, and in-home washer & dryer. Community features include a modern fitness facilities, bike room, indoor playroom, swimming pool, and landscaped courtyards with grilling stations and fire pits. a pet friendly community conveniently located within Newcastle Commons which includes public parks, green spaces, a central, and shops. Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities: Renter responsible for all utilities. Additional Charges: Renter's insurance required. Pet restrictions: Aggressive Breeds. Parking Info: Surface lot: included in lease unreserved, $75/month reserved, Garage access from unit: included in select units, Carport: $50/month.","Gym,Parking,Pool,Washer Dryer",2.0,2.0,USD,No,Yes,,2195,"$2,195.00 ",Monthly,1144,,Newcastle,WA,47.4831,-122.1298,RentDigs.com,1568780741
5667484719,housing/rent/apartment,Two BR in Orange CA 90630,"Description2 Level Condominium in a Beautiful Community in Cypress! This amazing two level condominium is spread over 1,164 square ft and has 2 beds and 1.5 baths! The unit features large living spaces, a shared swimming pool, beautiful creeks and foliage throughout, and a detached garage for 2 cars! On the 1st floor, youll find a large half bath for your convenience, a large living room with a fireplace, views of the quiet creeks and kitchen with plenty of storage! The kitchen features cabinet and counter space, a double sink, dishwasher, and cloths washer and drier hookups! There is a quaint sized dining area, which is perfect for entertaining guests! The two beds are located upstairs along with a full bathroom which is accessible through the master bedroom and hallway. Each bedroom features large windows that will illuminate the rooms with plenty of natural lighting and a large closet with room for abundant storage! This condominium includes a front and back patio area with a quiet river stream view!","Dishwasher,Fireplace,Parking,Patio/Deck,Pool,Storage,Washer Dryer",1.5,2.0,USD,No,Thumbnail,,2200,"$2,200.00 ",Monthly,1164,,Orange,CA,33.8154,-118.037,Listanza,1577267090
5668627365,housing/rent/apartment,Four BR 22 Gray St,"This unit is located at 22 Gray St, Arlington, 02476, MAMonthly rental rates range from $4500We have 4 beds units available for rent",,3.5,4.0,USD,No,Thumbnail,Cats,4500,"$4,500.00 ",Monthly,2700,22 Gray St,Arlington,MA,42.418,-71.1669,RentLingo,1577359455
5664568982,housing/rent/apartment,One BR 770 N Ih 35,"This unit is located at 770 N Ih 35, New Braunfels, 78130, TXMonthly rental rates range from $900 - $1750We have one - three beds units available for rent Apartment available amenities:-- On-Site Laundry- Fitness facilities- Dishwasher",Dishwasher,1.0,1.0,USD,No,Thumbnail,,900,$900.00 ,Monthly,692,770 N Ih 35,New Braunfels,TX,29.7398,-98.1021,RentLingo,1577014912
5668621236,housing/rent/apartment,Studio apartment 2663 E. 7th Street,"This unit is located at 2663 E. seventh Street, Bloomington, 47408, INMonthly rental rates range from $550 - $970We have studio - 3 beds units available for rent Apartment features include:-- Trash Removal Included- Refrigerator- Balcony, Deck, Patio- On-Site Laundry- Fitness facilities- Furnished- Water Included- On Bus Line","Parking,Patio/Deck,Pool,Refrigerator",1.0,3.0,USD,No,Thumbnail,"Cats,Dogs",550,$550.00 ,Monthly,470,2663 E 7th St,Bloomington,IN,39.1676,-86.5,RentLingo,1577359046
5668628852,housing/rent/apartment,One BR 7605 E. 49th Street,"This unit is located at 7605 E. 49th Street, Tulsa, 74145, OKMonthly rental rates range from $459 - $629We have one - two beds units available for rent",,1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",459,$459.00 ,Monthly,700,7605 E 49th St,Tulsa,OK,36.116,-95.9281,RentLingo,1577359574
5509052538,housing/rent/apartment,Under New Management.,"COMPANY is proud to include WATER'S EDGE in our multi-family residential apartment community portfolio. As our most recently acquired community, Waters Edge is a newly constructed, 5 level elevator building which combines the luxurious of state of the art living with the convenience of a metropolitan price. Oak wood floors flow throughout each apartment home. Designer kitchens with cherry wood cabinetry, quartz counters and breakfast area area are accented by vaulted ceilings and windows featuring plenty of natural light. Open concept living provides spacious interiors and easy room flows perfect for entertaining guests. Dressing area with ample storage lead into over sized, elegantly tiled bathrooms. Socially responsible construction boast Waters Edge as an Compliant with energy star Rated community. Apartment homes contain energy efficient lighting as well as Compliant with energy star rated appliances.","Elevator,Gym,Internet Access,Parking,Patio/Deck,Storage,Wood Floors",1.0,2.0,USD,No,Thumbnail,,1875,"$1,875.00 ",Monthly,830,,Rahway,NJ,40.6077,-74.2824,RentDigs.com,1568770429
5508936834,housing/rent/apartment,Two BR Apartment - Camden Reunion Park s one. Pet OK!,"Square footage: 1038 sq. feet, unit number: 3114. Two and 3 beds apartment homes offer luxurious, convenience and value perfectly located near Holly Springs, NC. Our amenities package, which includes 2 swimming pools with grilling entertainment lounges, and a 24-hr fitness studio, is the perfect complement to our expansive apartment homes. Select apartments offer upgraded cabinets, stainless appliances, LED lighting, brand new counter tops, and more! Camden Reunion Park is a ok for pets community featuring a brand new outdoor pet park, a serene walking trail and mature landscaping. Apex, NC, is convenient to the newly opened Interstate 540 Triangle Expressway, just minutes away from U. S. one and 55 making it easy to access Research Triangle Park and the Holly Springs Towne Center in no time! Not to mention, our apartments are zoned for the great schools in Holly Springs. Residents receive a technology package included in the total monthly rent with a savings of up to 48% off retail.","Internet Access,Parking,TV",2.0,2.0,USD,No,Thumbnail,"Cats,Dogs",1079,"$1,079.00 ",Monthly,1038,,Apex,NC,35.6775,-78.7763,RentDigs.com,1568762497
5664572405,housing/rent/apartment,One BR 859 Lakeview Avenue,"This unit is located at 859 Lakeview Avenue, Lowell, 1850, MAMonthly rental rates range from $1289 - $1399We have one - two beds units available for rent Apartment available amenities:-- Surface Parking- Heat Included- On-Site Laundry- Ac- Carpet- Refrigerator- Balcony, Deck, Patio- Living Room","Cable or Satellite,Parking,Patio/Deck,Refrigerator",1.0,1.0,USD,No,Thumbnail,,1289,"$1,289.00 ",Monthly,620,859 Lakeview Ave,Lowell,MA,42.6398,-71.3184,RentLingo,1577015154
5668610963,housing/rent/apartment,Three BR 13435 Rampchester Lane,"This unit is located at 13435 Rampchester Lane, Houston, 77015, TXMonthly rental rates range from $1299We have 3 beds units available for rent Apartment features include:-- Garage - Attached- Fireplace- Garbage Disposal- Dishwasher- Central A / C- Overhead fans- Hardwood flooring- Refrigerator","Dishwasher,Fireplace,Garbage Disposal,Refrigerator",2.0,3.0,USD,No,Thumbnail,"Cats,Dogs",1299,"$1,299.00 ",Monthly,1520,13435 Rampchester Ln,Houston,TX,29.7714,-95.4343,RentLingo,1577358378
5668613451,housing/rent/apartment,Studio apartment 404 S Newport Ave,"This unit is located at 404 S Newport Ave, Tampa, 33606, FLMonthly rental rates range from $1249 - $1749We have studio - 3 beds units available for rent Apartment features include:-- Public Transportation- Microwave- On-Site Laundry- Living Room- Range / Oven- Balcony, Deck, Patio- Refrigerator- Dishwasher","Dishwasher,Parking,Patio/Deck,Refrigerator",1.0,3.0,USD,No,Thumbnail,"Cats,Dogs",1249,"$1,249.00 ",Monthly,570,404 S Newport Avenue,Tampa,FL,28.0076,-82.4792,RentLingo,1577358536
5668627681,housing/rent/apartment,One BR 7711 OCONNOR DR,"This unit is located at 7711 OCONNOR DR, Round Rock, 78681, TXMonthly rental rates range from $1002 - $1864We have one - four beds units available for rent",,1.0,1.0,USD,No,Thumbnail,,1002,"$1,002.00 ",Monthly,878,7711 Oconnor Drive,Round Rock,TX,30.5118,-97.6873,RentLingo,1577359481
5509007901,housing/rent/apartment,"Lovely Cincinnati, Three BR, Two BA. Pet OK!","twenty-four hour Executive Business facility with Free WiFi, twenty-four hour Tanning Bed, Major Credit Cards Accepted, Walk to Shopping & Dining, A/c, Dishwasher, Exterior Storage, Handicapped Accessible, Intrusion Alarm, Mini Blinds & Vertical Blinds, Stylish Ceramic Tile Entryway, Walk-In Closets, Wood Burning Fireplaces. Pet-friendly Comments: Ask Leasing Associate. Price range: $1, 370-$1, 990. More units available: one Bd / 1 Bedrooms 801 sq-ft for $910/mo | two Bd / 2 Bedrooms 1,091 sq-ft for $1,295/mo | three Bd / 2 Bedrooms 1,280 sq. feet for $1,319/mo | one Bd / 1 Bedrooms 716 sq. feet for $854/mo | three Bd / 2 Bedrooms 1,280 square feet for $1,294/mo | three Bd / 2 Bedrooms 1,280 sq. feet for $1,284/mo | two Bd / 2 Bedrooms 955 sq. feet for $1,214/mo | two Bd / 2 Bedrooms 1,067 sq. feet for $1,158/mo | two Bd / 2 Bedrooms 955 square ft for $1,114/mo |","AC,Dishwasher,Fireplace,Storage",2.0,3.0,USD,No,Yes,"Cats,Dogs",1336,"$1,336.00 ",Monthly,1369,,Cincinnati,OH,39.1912,-84.4615,RentDigs.com,1568767044
